session,category,id,question,options,answer,explanation
"2025年（令和7年）4月公表分","関係法令","問11","管理区域内における外部被ばくの線量記録として、労働安全衛生法令上、正しいものはどれか。","（１）男性20mSv超：6か月及び5年合計|（２）男性20mSv以下：1年及び5年合計|（３）皮膚等価線量：3か月及び1年合計|（４）女性1.7mSv/月以下：3か月,1年,5年合計|（５）妊娠中女性腹部：3か月及び妊娠中合計","（３）","正解は（３）。皮膚や水晶体の等価線量は3ヶ月ごと及び1年間の合計を記録します。【補足】（１）（２）実効線量は1cm線量当量で評価し、3ヶ月、1年、5年の合計を記録します（5年縛りは男性や妊娠可能性なし女性）。（５）妊娠中は1ヶ月ごと及び妊娠期間の合計を記録します。"
"2025年（令和7年）4月公表分","関係法令","問12","特定エックス線装置の放射線装置室での措置。焦点1mの距離において空気カーマ率[ C ]μGy/h以下にすること。","（１）線量当量率／1／30|（２）線量当量率／5／17.4|（３）吸収線量／5／30|（４）空気カーマ率／1／17.4|（５）空気カーマ率／1／30","（４）","正解は（４）。電離則第10条の構造規格。利用線錐中の受像器通過後の空気カーマ率は、焦点1mで 17.4μGy/h 以下にする必要があります。FSEとして装置設置時の性能確認でチェックすべき法定数値です。"
"2025年（令和7年）4月公表分","関係法令","問13","放射線測定器の装着部位が「胸部及び腹部」の2箇所である女性（妊娠可能性あり）の組合せはどれか。","（１）A，C|（２）A，D|（３）B，D|（４）B，E|（５）C，E","（４）","正解は（４）。妊娠する可能性のある女性は、腹部（胎児防護）と胸部の両方に装着します。男性や妊娠可能性なし女性は「胸部（女子は腹部）」の1箇所が基本ですが、不均等被ばく時は頭頸部なども追加します。CEとしてカテ室に入る際のバッジ位置をイメージしてください。"
"2025年（令和7年）4月公表分","関係法令","問14","エックス線作業主任者に関する記述で正しいものはどれか。","（１）事業場ごとに1人選任。|（２）放射線技師は無免許で選任できる。|（３）作業環境測定を行わなければならない。|（４）測定器の校正を行わなければならない。|（５）氏名及び職務事項を掲示し周知しなければならない。","（５）","正解は（５）。作業主任者の氏名と職務は作業場に掲示する義務があります。【補足】（１）1人に限りません。（２）技師でも「エックス線作業主任者免許」そのものは必要です（申請でもらえますが、免許証の所持が前提）。（３）（４）「実施の監督」が義務であり、校正そのものは義務ではありません。"
"2025年（令和7年）4月公表分","関係法令","問15","特定エックス線装置の見やすい箇所に表示しなければならない事項はどれか。","（１）製造者名|（２）製造番号|（３）型式検定合格番号|（４）エックス線管の遮蔽能力|（５）設置年月","（１）","正解は（１）。エックス線装置構造規格により「製造者名」「定格管電圧」「定格管電流」などの表示が義務付けられています。FSEとして装置の銘板を確認する際、これらが欠落していないか注意が必要です。"
"2025年（令和7年）4月公表分","関係法令","問16","外部放射線の防護措置のうち、電離放射線障害防止規則に違反しているものはどれか。","（１）常時立ち入る場所の実効線量を1週間1mSv以下に管理。|（２）焦点から5m以内の場所に作業員を立ち入らせている。|（３）目的上妨げになるので照射筒を用いていない。|（４）電流が定格の2.5倍に達したときに回路が開放される設定。|（５）外側20μSv/h以下の装置を装置室外に設置。","（４）","正解は（４）。過負荷保護装置は、定格の「1.5倍」以下で動作し、回路を開放する必要があります。2.5倍では遅すぎます。FSEとして装置の安全インターロック試験を行う際、この1.5倍という基準値は法令上極めて重要です。"
"2025年（令和7年）4月公表分","関係法令","問17","電離放射線健康診断の実施について、労働安全衛生法令に違反しているものはどれか。","（１）一時立ち入りの非従事者には診断未実施。|（２）雇入れ時に白内障検査を省略。|（３）配置替え時に医師が不要としたので皮膚検査を省略。|（４）定期診断で医師が不要としたので白血球検査を省略。|（５）離職時に健康診断を実施していない。","（３）","正解は（３）。「配置替え（初めて従事する際）」の健康診断では、皮膚の検査や末梢血液の検査は医師の判断で「省略できません」。定期診断（継続）の時のみ、医師の判断で省略可能です。CEとしての健康診断受診時を思い出してください。"
"2025年（令和7年）4月公表分","関係法令","問18","管理区域の作業環境測定に関する記述。A以内（固定時はB以内）に1回。測定日時、箇所、結果、C等を記録。","（１）1か月／3か月／種類・型式|（２）1か月／6か月／種類・型式|（３）1か月／6か月／実施者の氏名|（４）6か月／1年／測定器の種類・型式|（５）6か月／1年／実施者の氏名","（３）","正解は（３）。管理区域の測定は原則「1ヶ月」ごと、固定使用時は「6ヶ月」ごとです。記録には「測定を実施した者の氏名」が必要です。FSEが定期点検時に漏洩線量測定を行う場合も、この頻度と記録項目を意識する必要があります。"
"2025年（令和7年）4月公表分","関係法令","問19","エックス線作業主任者免許に関する記述で誤っているものはどれか。","（１）18歳未満は免許を受けられない。|（２）氏名変更時は書換えが必要。|（３）住所変更時は書換えが必要。|（４）滅失時は再交付が必要。|（５）重大な事故発生時は免許取消・停止があり得る。","（３）","正解は（３）。住所変更は免許証の書換え事項ではありません（氏名の変更は必要）。病院からメーカーへの転職等で住所が変わっても、免許証そのものの書き換え手続きは不要です。"
"2025年（令和7年）4月公表分","関係法令","問20","常時800人の製造業。エックス線撮影業務20人。衛生管理体制で誤っているものはどれか。","（１）衛生管理者は3人以上。|（２）1人を衛生工学衛生管理者から選任。|（３）1人を専任の衛生管理者。|（４）産業医は専属でない者を選任可。|（５）総括安全衛生管理者が必要。","（２）","正解は（２）。衛生工学衛生管理者の選任が必要なのは、有害業務のうち「多量の熱、粉じん、特定化学物質」等に関連する場合です。エックス線業務（20人）だけではこの要件には該当しません。第一種衛生管理者試験でも頻出の組織管理問題です。"
"2025年（令和7年）4月公表分","エックス線の測定に関する知識","問21","放射線の量とその単位に関する記述で誤っているものはどれか。","（１）吸収線量は単位質量に付与されたエネルギー、単位Gy。|（２）カーマは単位質量中に生成された荷電粒子の電荷の総和、単位Gy。|（３）等価線量は組織吸収線量に放射線加重係数を乗じたもの、単位Sv。|（４）実効線量は各組織の等価線量に組織加重係数を乗じ合計したもの、単位Sv。|（５）1eVは約1.6x10^-19J。","（２）","正解は（２）。カーマ(Kerma)は「荷電粒子の運動エネルギーの総和」です。「電荷の総和」は照射線量(X)の定義です。CE国試の物理でも「照射線量＝電荷、吸収線量・カーマ＝エネルギー」という区別は超重要です。"
"2025年（令和7年）4月公表分","エックス線の測定に関する知識","問22","気体増幅が生じ、検出器として利用される領域の組合せはどれか。A 再結合領域 B 電離箱領域 C 比例計数管領域 D GM計数管領域","（１）A，B|（２）A，C|（３）B，C|（４）B，D|（５）C，D","（５）","正解は（５）。気体増幅（電子なだれ）が生じるのは「比例計数管領域」と「GM計数管領域」です。電離箱領域は気体増幅が「1」すなわち増幅しない領域です。FSEが使う電離箱式サーベイメータは増幅なし、GM管式は増幅ありという特性の違いに直結します。"
"2025年（令和7年）4月公表分","エックス線の測定に関する知識","問23","放射線検出器と関係の深い用語の組合せで正しいものはどれか。","（１）比例計数管／窒息現象|（２）フリッケ線量計／充電|（３）GM計数管／グロー曲線|（４）シンチレーション検出器／空乏層|（５）半導体検出器／固体電離箱","（５）","正解は（５）。半導体検出器は、気体の電離箱を固体（シリコン等）に置き換えたような仕組みのため「固体電離箱」と呼ばれます。【補足】（１）窒息はGM管。（３）グロー曲線はTLD（熱ルミネセンス線量計）。（４）空乏層は半導体検出器の用語です。"
"2025年（令和7年）4月公表分","エックス線の測定に関する知識","問24","GM計数管に関する記述で誤っているものはどれか。","（１）入射が多いと出力パルスが得られなくなる窒息現象が起こる。|（２）電離気体は通常アルゴン等の貴ガス。|（３）放電消滅のためアルコールやハロゲンガスを混入。|（４）出力パルス波高は入射エックス線のエネルギーに比例する。|（５）パルスが検出できない不感時間がある。","（４）","正解は（４）。GM計数管のパルス波高は「常に一定」であり、入射エックス線のエネルギーには依存（比例）しません。エネルギーを知ることはできず、数だけを数える検出器です。FSEとして「線量率」を測るなら電離箱式を選ぶ理由がここにあります。"
"2025年（令和7年）4月公表分","エックス線の測定に関する知識","問25","サーベイメータに関する記述で誤っているものはどれか。","（１）NaI(Tl)シンチレーション式は、半導体式に比べエネルギー分解能が優れている。|（２）NaI(Tl)式は、後方からのエックス線に対し検出効率が低い。|（３）NaI(Tl)式は、30keV程度の測定に適していない。|（４）電離箱式は、散乱線の多い区域の測定に適している。|（５）半導体式は、20keV程度の測定に適していない。","（１）","正解は（１）。エネルギー分解能は「半導体式」の方が圧倒的に優れています。NaI(Tl)は感度は高いですが分解能は低いです。（３）（５）も低エネルギー特性に関する記述として正しいため、（１）が明確な誤りです。"
"2025年（令和7年）4月公表分","エックス線の測定に関する知識","問26","被ばく線量測定用の放射線測定器に関する記述で誤っているものはどれか。","（１）TLDは加熱して蛍光を読み取り、一度読むと情報が消える。|（２）ポケット線量計は石英繊維の開閉を利用する。|（３）OSL線量計は輝尽性蛍光を利用し、素子は酸化アルミニウム。|（４）蛍光ガラス線量計は緑色のレーザー光を当てて読み取る。|（５）DIS線量計は不揮発性メモリ(MOSFET)を電離箱の一部とする。","（４）","正解は（４）。蛍光ガラス線量計(RPLD)の読み取りには「紫外線」レーザーを用い、オレンジ色の蛍光を測定します。「緑色のレーザー」はOSL線量計の読み取り（刺激光）などで使われます。FSEが身につけるガラスバッジの測定原理です。"
"2025年（令和7年）4月公表分","エックス線の測定に関する知識","問27","放射線測定の用語に関する正しい記述はどれか。","（１）半導体で1対の電子・正孔対を作るエネルギーε値はシリコンで約3.6eV。|（２）気体で1対のイオン対を作るエネルギーW値は放射線エネルギーに依存する。|（３）線量率計の時定数を小さくすると相対標準偏差は小さくなる。|（４）線量率が低すぎて計測されないことを数え落としという。|（５）指針が安定せずゆらぐ現象をフェーディングという。","（１）","正解は（１）。シリコンのε値=3.6eVは基本数値です。【補足】（２）W値はエネルギーに依存せずほぼ一定（空気で34eV）。（３）時定数を小さくすると応答は早くなりますが、ゆらぎ（標準偏差）は「大きく」なります。（５）フェーディングはTLD等で潜像が時間と共に消える現象です。"
"2025年（令和7年）4月公表分","エックス線の測定に関する知識","問28","GM計数管で1,500cpsを得た。分解時間が100μsのとき、真の計数率(cps)はいくらか。","（１）1,300|（２）1,450|（３）1,550|（４）1,650|（５）1,750","（５）","正解は（５）。真の計数率 $n = m / (1 - m\tau)$ を使います。 $n = 1500 / (1 - 1500 \times 100 \times 10^{-6}) = 1500 / 0.85 \approx 1764.7$。よって1,750。FSEとして高線量率下でGM管を使う際の誤差（数え落とし）補正の考え方です。"
"2025年（令和7年）4月公表分","エックス線の測定に関する知識","問29","t秒間で計数値Nを得たとき、計数率の標準偏差(cps)を表す式はどれか。","（１）sqrt(N)|（２）sqrt(N)/t|（３）sqrt(N/t^2)|（４）sqrt(N)/t|（５）N/t^2","（２）","正解は（２）。全カウント数Nの標準偏差は $\sqrt{N}$。計数率 $R = N/t$ の標準偏差は $\sigma = \sqrt{N}/t$ です。CE国試の「放射線計測の統計」でも頻出の公式です。"
"2025年（令和7年）4月公表分","エックス線の測定に関する知識","問30","防護衣着用時の実効線量算定。胸部(下)0.4mSv、頭頸部1.2mSv。式：HE = 0.08Ha + 0.44Hb + 0.45Hc。","（１）0.25mSv|（２）0.30mSv|（３）0.40mSv|（４）0.50mSv|（５）0.60mSv","（４）","正解は（４）。Ha（頭頸部）=1.2。防護衣の下（胸部・腹部）は均等とみなすのでHb=Hc=0.4。式に代入：$0.08 \times 1.2 + 0.44 \times 0.4 + 0.45 \times 0.4 = 0.096 + 0.176 + 0.18 = 0.452$。最も近いのは0.50mSv。カテ室等で防護衣を着るCEにとって実務に直結する計算です。"
"2025年（令和7年）4月公表分","エックス線の生体に与える影響に関する知識","問31","放射線感受性に関する記述で誤っているものはどれか。","（１）小腸の絨毛先端部細胞は、腺窩細胞より感受性が高い。|（２）骨組織は感受性が低いが、小児では比較的高い。|（３）皮膚の基底細胞層は、角質層より感受性が高い。|（４）S期初期は、S期後期より感受性が高い。|（５）G1期初期は、G2期後期より感受性が低い。","（１）","正解は（１）。ベルゴニー・トリボンドーの法則により、未分化で分裂頻度の高い「腺窩細胞（クリプト細胞）」の方が、分化した先端部細胞より感受性が「高い」です。CE国試の解剖生理・放射線生物の基礎知識で瞬殺できる問題です。"
"2025年（令和7年）4月公表分","エックス線の生体に与える影響に関する知識","問32","放射線によるDNAの損傷と修復に関する正しい記述はどれか。","（１）間接電離放射線では塩基損傷は生じない。|（２）1本鎖切断は、2本鎖切断より細胞死への関連が深い。|（３）細胞には塩基損傷を修復する機能はない。|（４）非相同末端結合修復は、DNA切断端どうしを直接結合する。|（５）2本鎖切断は1本鎖切断に比べて容易に修復される。","（４）","正解は（４）。非相同末端結合(NHEJ)は、相同なテンプレートを使わず強引に繋ぐため、誤りが生じやすい修復です。【補足】（２）（５）重篤なのは「2本鎖切断」の方で、修復も困難です。（３）細胞には塩基除去修復などの機能が備わっています。"
"2025年（令和7年）4月公表分","エックス線の生体に与える影響に関する知識","問33","組織・器官を放射線感受性の高い順に並べたものはどれか。A 神経線維 B 肺 C 皮脂腺","（１）A，B，C|（２）B，A，C|（３）B，C，A|（４）C，A，B|（５）C，B，A","（５）","正解は（５）。皮脂腺（皮膚組織・高い）＞肺（中間）＞神経線維（分化した永久細胞・極めて低い）の順です。CEとして放射線治療や防護を考える際、神経や筋肉が「放射線に強い」ことは重要な前提知識です。"
"2025年（令和7年）4月公表分","エックス線の生体に与える影響に関する知識","問34","生体に対する放射線効果に関する正しい組合せはどれか。A 半致死線量は50％が死亡する線量。 D 生物効果比（RBE）は線質の異なる放射線の比較に用いる。","（１）A，B|（２）A，C|（３）A，D|（４）B，C|（５）B，D","（３）","正解は（３）。AのLD50とDのRBEの定義は正しいです。【補足】（B）平均致死線量D0は、細胞を死なせるための指標で、この値が「小さい」ほど感受性が高いといえます。（C）全致死線量は集団が100%死亡する線量ですが、必ずしも半致死の2倍とは限りません。"
"2025年（令和7年）4月公表分","エックス線の生体に与える影響に関する知識","問35","エックス線の直接作用と間接作用に関する正しい記述はどれか。","（１）ラジカルが直接損傷を与えるのが直接作用。|（２）二次電子が電離を行うのが間接作用。|（３）直接作用より間接作用による影響の方が大きい。|（４）SH基化合物による軽減は直接作用で説明される。|（５）濃度減少で不活性化率が増すのは直接作用で説明される。","（３）","正解は（３）。低LET放射線であるX線では、水分子のラジカルを介した「間接作用」が全体の約2/3〜3/4を占めます。（１）（２）は定義が逆です。（４）（５）はラジカルが関与する「間接作用」の説明モデルです。"
"2025年（令和7年）4月公表分","エックス線の生体に与える影響に関する知識","問36","放射線による身体的影響に関する記述で誤っているものはどれか。","（１）重篤度が線量に依存するものとしないものがある。|（２）白内障は晩発影響に分類される。|（３）放射線による不妊は晩発影響に分類される。|（４）がんは被ばく時の年齢が若いほど潜伏期が長くなる。|（５）白血病は線量が大きくなるほど潜伏期が短くなる。","（３）","正解は（３）。不妊は「早期影響」に分類されます（一時的不妊は数週間、永久不妊は1〜2ヶ月以内に現れるため）。【補足】（１）確定的影響（依存する）と確率的影響（依存しない）のこと。（２）（４）（５）は晩発影響（白内障、がん、白血病）の正しい特徴です。"
"2025年（令和7年）4月公表分","エックス線の生体に与える影響に関する知識","問37","エックス線被ばくによる造血器官及び血液に対する影響で正しいものはどれか。","（１）末梢血球はリンパ球を除き、未分化細胞より感受性が低い。|（２）造血幹細胞の分裂頻度が高いのは脊髄。|（３）末梢血球の減少は1Gy程度までは認められない。|（４）リンパ球は被ばく直後、一時的に増加する。|（５）赤血球の減少は感染抵抗力を弱める。","（１）","正解は（１）。分化した末梢血球（赤血球など）は強いですが、リンパ球だけは例外的に高感受性です。【補足】（２）造血は「骨髄」です。脊髄は中枢神経。（３）0.25Gy程度からリンパ球減少が認められます。（５）抵抗力減少は「白血球（好中球）」の減少が主因です。"
"2025年（令和7年）4月公表分","エックス線の生体に与える影響に関する知識","問38","確率的影響と確定的影響に関する記述で誤っているものはどれか。","（１）確率的影響の発生確率は線量とともに増加する。|（２）遺伝的影響には、確率的影響と確定的影響の両方がある。|（３）早期影響は、全て確定的影響。|（４）確定的影響の重篤度は線量に依存する。|（５）しきい線量は確定的影響にのみ存在する。","（２）","正解は（２）。遺伝的影響は「確率的影響」にのみ分類されます。確定的影響となる遺伝的影響は見つかっていません。他は、足切り対策として絶対に暗記しておくべき「確定 vs 確率」の対比表そのものです。"
"2025年（令和7年）4月公表分","エックス線の生体に与える影響に関する知識","問39","一時に全身照射を受けた場合の早期影響で誤っているものはどれか。","（１）1～2Gyで放射線宿酔が現れる。|（２）造血器官障害による死亡の方が消化器官障害より期間が長い。|（３）3～5Gyによる死亡は主に造血器官障害。|（４）消化器官障害による死亡は5～20日程度。|（５）5～10Gyによる死亡は主に中枢神経系障害。","（５）","正解は（５）。5〜10Gyの主因は「消化管（腸）死」です。中枢神経死が起こるには数10〜100Gy以上の超高線量が必要です。CEとして、全身被ばく時の線量レベルと死因の関係は把握しておくべき知識です。"
"2025年（令和7年）4月公表分","エックス線の生体に与える影響に関する知識","問40","胎内被ばくに関する正しい記述はどれか。","（１）着床前期の被ばくは出生後の発育遅延が生じやすい。|（２）胎児に生じる奇形は、確定的影響に分類される。|（３）奇形発生リスクが最も大きいのは胎児期の被ばく。|（４）出生後の精神発達遅滞は遺伝的影響。|（５）器官形成期の被ばくは、奇形の恐れはない。","（２）","正解は（２）。胎児の奇形（催奇形性）はしきい値を持つ「確定的影響」です。【補足】（１）着床前期は「全か無か」の時期で、生き残れば正常発育します。（３）（５）奇形リスクが最大なのは「器官形成期」です。（４）精神発達遅滞は胎児期の脳の被ばくによる身体的影響（確定的影響）です。"
session,category,id,question,options,answer,explanation
"2025年10月公表","エックス線の管理に関する知識","問1","エックス線管及びエックス線の発生に関する記述のうち、誤っているものはどれか。","（１）管内部は高度の真空|（２）熱電子数はフィラメント電流で制御|（３）実焦点は実効焦点よりも小さくなる|（４）発生効率は原子番号と管電圧の積に比例|（５）励起電圧超えで連続と特性エックス線が混在","（３）","正解は（３）。物理的な『実焦点』を大きくし、利用方向から見た『実効焦点』を小さくすることで熱負荷を分散させます。よって、実焦点＞実効焦点が正しい関係です。"
"2025年10月公表","エックス線の管理に関する知識","問2","特性エックス線に関する記述のうち、正しいものはどれか。","（１）原子番号大で波長は長くなる|（２）原子核から放出される|（３）K励起電圧以下では他系列も発生しない|（４）K殻電子電離による発生をオージェ効果という|（５）管電圧を上げると強度は増大するが波長は変わらない","（５）","正解は（５）。特性エックス線の波長はターゲットの材質のみで決まります。（１）Z大で波長は短くなります。（４）オージェ効果はX線が出ずに電子が飛ぶ現象です。"
"2025年10月公表","エックス線の管理に関する知識","問3","連続エックス線の全強度を大きくする組み合わせとして正しいものはどれか。 A:管電圧2倍(i一定) B:管電圧1/2,管電流2倍 C:管電圧2倍,管電流1/2 D:ターゲット原子番号大(V,i一定)","（１）A,B|（２）A,C|（３）A,C,D|（４）B,C,D|（５）B,D","（３）","正解は（３）。全強度 $I \propto iZV^2$ より、管電圧Vの2乗が支配的です。Cのようにiが半分でもVが2倍になれば強度は増大します。Dの原子番号大も強度を上げます。"
"2025年10月公表","エックス線の管理に関する知識","問4","エックス線と物質との相互作用に関する記述のうち、正しいものはどれか。","（１）レイリー散乱で波長は長くなる|（２）光電効果の確率はエネルギー増大でコンプトンより急激に低下する|（３）光電子の運動エネルギーは入射エネルギーに等しい|（４）コンプトン効果は内殻電子との相互作用|（５）エネルギー高で後方散乱が多くなる","（２）","正解は（２）。光電効果の確率はエネルギーの3乗に反比例 ($1/E^3$) するため、高エネルギー側では急激に低下します。"
"2025年10月公表","エックス線の管理に関する知識","問5","ビルドアップ係数（再生係数）に関する記述のうち、誤っているものはどれか。","（１）エネルギーや物質の種類で異なる|（２）照射面積大で大きくなる|（３）厚さが薄いほど小さくなる|（４）物質から離れるほど1に近づく|（５）線量率が高くなるほど小さくなる","（５）","正解は（５）。ビルドアップ係数は幾何学的・物理的条件（厚さ、面積、線質）で決まる値であり、エックス線の強さ（線量率）には依存しません。"
"2025年10月公表","エックス線の管理に関する知識","問6","エックス線を利用した各種試験装置に関する記述で、誤っているものはどれか。","（１）蛍光エックス線分析装置は透過像を観察する装置|（２）マイクロアナライザーは電子線で元素分析|（３）回折装置は結晶構造解析|（４）応力測定装置は面間隔変化を調べる|（５）散乱型厚さ計は後方散乱を利用","（１）","正解は（１）。透過像の観察は『エックス線透視装置』の役割です。蛍光エックス線分析は元素の特定（分析）に用います。"
"2025年10月公表","エックス線の管理に関する知識","問7","散乱線の空気カーマ率の比較（材質／後方角度／前方角度）として、散乱が大きくなる正しい組み合わせはどれか。","（１）鋼板／120度／60度|（２）鋼板／135度／30度|（３）鋼板／135度／60度|（４）アルミニウム板／120度／60度|（５）アルミニウム板／135度／30度","（５）","正解は（５）。散乱が大きくなる条件：[材質]軽元素（Al）、[後方角度]180度に近い（135度）、[前方角度]0度に近い（30度）です。"
